,Unnamed: 0,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ConvertedCompYearly
15,301,302,I am a developer by profession,Employed full-time,Spain,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",10,10,Other (please specify):,"10,000 or more employees",EUR European Euro,1000.0,Monthly,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA,Bash/Shell;C#;C++;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,,,Angular;Django;Drupal;jQuery;Laravel;React.js;Spring,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;FastAPI;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Svelte;Symfony;Vue.js,NumPy;Pandas,.NET Framework;.NET Core / .NET 5;Apache Spark;Cordova;Flutter;Hadoop;Keras;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch,Docker;Git;Unity 3D;Xamarin,Ansible;Chef;Deno;Docker;Flow;Git;Kubernetes;Pulumi;Puppet;Terraform;Unity 3D;Unreal Engine;Xamarin;Yarn,Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Atom;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;Neovim;Notepad++;PHPStorm;PyCharm;Rider;RStudio;RubyMine;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,"Woman;Non-binary, genderqueer, or gender non-conforming","Or, in your own words:",Straight / Heterosexual;Prefer to self-describe:,"White or of European descent;Hispanic or Latino/a/x;Or, in your own words:","Or, in your own words:","I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",12972.0
16,324,325,I am a developer by profession,Employed full-time,United States of America,Colorado,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,Friend or family member;Other (please specify):,21,12,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees",USD	United States dollar,144000.0,Yearly,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,HTML/CSS;Java;JavaScript;Node.js;TypeScript,Elasticsearch;MongoDB;SQLite,PostgreSQL,AWS;Google Cloud Platform;Microsoft Azure,,Angular;Angular.js;Express;React.js;Spring,Angular;Spring,,,Git;Kubernetes,,IntelliJ;Notepad++;Vim;Visual Studio Code,IntelliJ;Notepad++;Vim,Windows,Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Neutral,No,25-34 years old,Woman,No,Prefer not to say,White or of European descent;Hispanic or Latino/a/x,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),144000.0
17,338,339,I am a developer by profession,Employed full-time,Germany,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Other (please specify):",23,11,"Developer, full-stack;Developer, back-end",20 to 99 employees,EUR European Euro,60000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;Scala;SQL;TypeScript,Kotlin;Node.js;PHP;Python;Rust;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;SQLite,MariaDB;MongoDB,AWS;Heroku;Microsoft Azure,AWS,Drupal;Laravel;Symfony;Vue.js,Laravel;Symfony;Vue.js,,,Ansible;Docker;Git;Puppet;Yarn,Docker;Git;Kubernetes,Atom;IntelliJ;Neovim;Notepad++;PHPStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,IntelliJ;Neovim;Notepad++;PHPStorm;PyCharm;Vim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Multiple times per day,"Yes, definitely",Yes,25-34 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Straight / Heterosexual,White or of European descent,,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",64859.0
19,368,369,I am a developer by profession,Employed full-time,United States of America,Illinois,,Some college/university study without earning a degree,11 - 17 years,School;Friend or family member;Other (please specify):,15,4,"Developer, back-end",100 to 499 employees,USD	United States dollar,58000.0,Yearly,Bash/Shell;JavaScript;PHP;SQL,Bash/Shell;C#;Go;PHP;SQL;TypeScript,MySQL,,AWS;DigitalOcean,DigitalOcean,,,,,Git,Docker;Git,Eclipse;PHPStorm;Vim;Visual Studio Code,PHPStorm;Vim;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,Yes,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,I am unable to / find it difficult to walk or stand without assistance,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's)",58000.0
20,399,400,I am a developer by profession,Employed full-time,Germany,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",8,7,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test",10 to 19 employees,EUR European Euro,54000.0,Yearly,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Elasticsearch;Firebase;MySQL,Elasticsearch;Firebase;MySQL,Google Cloud Platform,Google Cloud Platform,Angular;Express;React.js;Symfony,Angular;Express;React.js;Symfony,Flutter,Flutter,Git;Yarn,Git;Yarn,Android Studio;PHPStorm;Visual Studio Code,Android Studio;PHPStorm;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,25-34 years old,"Or, in your own words:",,Prefer to self-describe:,,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",58373.0
22,428,429,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Croatia,,,Some college/university study without earning a degree,11 - 17 years,School;Other (please specify):,36,28,"Developer, mobile;Developer, desktop or enterprise applications;Developer, back-end",2 to 9 employees,HRK	Croatian kuna,,,Delphi;Java;Swift,C#;Delphi;Kotlin;Swift,Firebase,Firebase,DigitalOcean;Google Cloud Platform,DigitalOcean;Google Cloud Platform,,,,,Git,Git,Android Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,45-54 years old,Woman,No,Straight / Heterosexual,White or of European descent,Prefer not to say,None of the above,
23,457,458,I am a developer by profession,Employed full-time,United States of America,California,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,40,35,"Developer, back-end","5,000 to 9,999 employees",USD	United States dollar,280000.0,Yearly,Python,Python,MySQL;SQLite,MySQL;SQLite,AWS,DigitalOcean,Django,Django;FastAPI,NumPy;Pandas,NumPy;Pandas,Docker;Kubernetes,Docker;Kubernetes;Terraform,PyCharm,PyCharm,Linux-based,Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,55-64 years old,"Or, in your own words:",,,"Or, in your own words:",,"Or, in your own words:",280000.0
24,465,466,I am a developer by profession,Employed full-time,Turkey,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Colleague,7,3,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",TRY	Turkish lira,10000.0,Monthly,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Python;R;SQL;TypeScript,Bash/Shell;Java;Python;SQL,Microsoft SQL Server;MySQL;Oracle;SQLite,Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,AWS,AWS,Angular;Angular.js;Django;Spring,Django;Spring,TensorFlow,,Git,Git;Unity 3D,Android Studio;IntelliJ;Notepad++;PyCharm;Sublime Text;Xcode,Android Studio;Eclipse;IntelliJ;Notepad++;PyCharm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,I don't know,"I am blind / have difficulty seeing;Or, in your own words:",None of the above,19728.0
25,479,480,I am a student who is learning to code,"Not employed, but looking for work",United States of America,Colorado,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School",35,,"Developer, mobile;Developer, full-stack;Student;System administrator",,,,,HTML/CSS;Java;JavaScript;Node.js;SQL,HTML/CSS;JavaScript;Node.js;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,MongoDB;MySQL,AWS,AWS,Express;React.js,Express;React.js,React Native,React Native,Git,Git,Android Studio;Notepad++;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,55-64 years old,Woman,No,Straight / Heterosexual,"White or of European descent;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",None of the above,,
26,502,503,I am a developer by profession,Employed full-time,Czech Republic,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",05 - 10 years,Other (please specify):,33,18,"Developer, front-end;Developer, desktop or enterprise applications;Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Designer;Engineering manager",2 to 9 employees,CAD	Canadian dollar,,Monthly,C++;Python;SQL,C++;Python;SQL,PostgreSQL;SQLite,PostgreSQL;SQLite,,,,,NumPy,NumPy,Git,Git,Notepad++;PyCharm;Visual Studio,Notepad++;PyCharm;Visual Studio,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,35-44 years old,"Or, in your own words:","Or, in your own words:",Prefer to self-describe:,"Or, in your own words:",None of the above,"Or, in your own words:",
27,523,524,I am a developer by profession,Employed full-time,Lebanon,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Friend or family member,3,2,"Developer, back-end",20 to 99 employees,LBP	Lebanese pound,2800000.0,Monthly,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL,C#,Firebase;MongoDB;MySQL;SQLite,Elasticsearch;Redis,AWS;Google Cloud Platform;Heroku,,Django;Express;Flask;Laravel;React.js;Spring,Angular;ASP.NET Core ;Vue.js,Flutter;Keras;NumPy;Pandas;Qt;TensorFlow,.NET Core / .NET 5;Keras;NumPy;Pandas;Qt;TensorFlow,Docker;Git;Yarn,Unity 3D,Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PHPStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Woman,No,Prefer not to say,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",22212.0
29,577,578,I am a developer by profession,Employed full-time,Ukraine,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification",1,Less than 1 year,"Developer, front-end",20 to 99 employees,UAH	Ukrainian hryvnia,8200.0,Monthly,HTML/CSS;JavaScript,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,,,,,React.js,Express;React.js;Svelte,,,Git,Git,Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,4008.0
30,584,585,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,South Carolina,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",20,17,"Developer, front-end;Developer, back-end;Database administrator;System administrator",20 to 99 employees,USD	United States dollar,1575.0,Weekly,JavaScript;PHP;SQL,JavaScript;PHP;SQL,MySQL,MySQL,,,Laravel;Vue.js,Laravel;Vue.js,,,,,PHPStorm;Vim,PHPStorm;Vim,MacOS,Visit Stack Overflow;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",No,35-44 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,78750.0
